,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Thinking out Loud,x (Wembley Edition),Ed Sheeran,2013,281560,67,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
1,Sorry,Sorry,Justin Bieber,2015-10-23,200786,0,0.665,0.0767,0.665,0.759,0.0,0.313,-3.694,0.0399,99.992,4
2,Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,77,0.554,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4
3,Glad You Came,Battleground (Deluxe Edition),The Wanted,2011-01-01,197935,74,0.722,0.0319,0.722,0.851,0.0,0.108,-3.873,0.0639,126.885,4
4,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,83,0.759,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
5,Cool Kids,Talking Dreams (Deluxe Edition),Echosmith,2013-10-04,237626,72,0.719,0.0372,0.719,0.671,8.21e-06,0.12,-6.279,0.0336,130.027,4
6,Wake Me Up - Radio Edit,True,Avicii,2013-01-01,247426,3,0.532,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
7,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,197866,84,0.64,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,4
8,Shallow - Radio Edit,A Star Is Born Soundtrack (Without Dialogue),Lady Gaga,2018-10-05,217212,79,0.575,0.416,0.575,0.33,0.0,0.0872,-6.557,0.031,95.801,4
9,A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,268466,79,0.551,0.00713,0.551,0.636,0.00203,0.217,-7.125,0.0281,124.996,4
10,Talking Body,Queen Of The Clouds,Tove Lo,2014-09-24,238426,68,0.736,0.0966,0.736,0.761,0.0,0.0823,-5.449,0.0338,119.999,4
11,Classic,MKTO,MKTO,2012,175426,80,0.72,0.0384,0.72,0.791,0.0,0.157,-4.689,0.124,102.071,4
12,Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,187436,86,0.719,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,4
13,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,90,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
14,SOS,SOS (feat. Aloe Blacc),Avicii,2019-04-10,157202,69,0.802,0.272,0.802,0.645,0.0,0.119,-6.181,0.0715,100.001,4
15,Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,178480,83,0.674,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,4
16,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,93,0.824,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,4
17,How Do You Sleep?,How Do You Sleep?,Sam Smith,2019-07-19,202204,84,0.477,0.153,0.477,0.682,0.0,0.0763,-4.931,0.0925,110.567,5
18,Habits (Stay High),Queen Of The Clouds,Tove Lo,2014-09-24,209160,73,0.733,0.0703,0.733,0.65,6.59e-05,0.0829,-3.539,0.0315,110.003,4
19,Vossi Bop,Vossi Bop,Stormzy,2019-04-26,196266,73,0.682,0.13,0.682,0.653,0.00116,0.129,-6.062,0.339,188.115,4
